user_id,first_name,last_name,email,phone_number,account_number,routing_number,account_status,account_type,account_balance,card_number,card_expiration,card_cvv,card_status,card_provider,loan_issue_date,loan_duration,loan_interest,loan_amount,loan_type,loan_status
b98b7d74-43e2-4ad0-9daf-bbcb9639acc4,Matthew,Lopez,hcunningham@gmail.com,9694684027,6383093156,716777527,Suspended,Checking,36482.8,4002992346246332,10/2021,663,Active,American Express,2022-06-25,50,6.24,4986.53,Personal,Defaulted
320d2e2a-5481-47c7-af34-5462e597c2e1,Theresa,Daniels,lauramann@patterson.com,2598531766,3354577789,160745665,Closed,Business,5113.89,4107112567010185,05/2020,882,Blocked,American Express,2023-10-01,100,6.79,49020.72,Personal,Ongoing
82645edd-6a1f-4dd0-bb2b-30edf055aff4,Brittany,Black,conleydenise@gmail.com,7087472630,6167853203,536066277,Closed,Checking,85090.38,4630405873394340,08/2023,454,Blocked,Visa,2022-05-30,36,2.59,15114.03,Auto,Defaulted
04277372-3e6c-466e-9c2c-7c425306223c,Lucas,Proctor,fsellers@reyes.com,7803921655,6637414728,681741706,Suspended,Business,95601.18,4683197005607689,02/2020,464,Inactive,Visa,2020-11-06,81,2.26,12719.4,Auto,Ongoing
c26a01a7-cd82-42d2-ae6b-149e1ee95a77,Jeff,Colon,cmyers@williams.com,9644052236,1094717817,511803667,Closed,Checking,99069.46,4520609344668233,03/2023,167,Active,MasterCard,2021-01-27,33,10.29,3684.94,Mortgage,Ongoing
b1962935-fe52-43ce-a3ad-7a11d4f052bd,Ryan,Castro,shepherdmarc@bennett-taylor.com,6063401113,4581562624,620768965,Closed,Checking,55143.71,4349535157733932,03/2020,516,Blocked,Visa,2024-04-16,45,8.6,7591.34,Education,Ongoing
429f55b3-c145-430a-8f4b-998ddbe4fb60,Mark,Thompson,charlesdavis@gmail.com,5713731763,7211746710,595740633,Closed,Business,24992.73,4436738356989858,10/2024,943,Inactive,Visa,2024-07-21,68,8.02,33760.91,Mortgage,Defaulted
8b2a52e0-0cdc-4c4a-925c-c68812762ecc,Juan,Robinson,kennethosborne@hotmail.com,5956097239,8329145975,282809260,Suspended,Savings,92414.21,4932192456250587,11/2020,761,Active,American Express,2022-12-30,98,7.42,34314.56,Auto,Defaulted
e490d99e-0ed9-4908-8a86-061d2eb5dacb,John,Lowe,jennifergardner@yahoo.com,1721722173,9707439728,681589388,Closed,Savings,85070.76,4870732776270888,06/2022,732,Blocked,American Express,2023-10-12,81,2.98,5889.58,Auto,Paid
d574b075-6c2a-491d-9331-fff8f2fe819b,Matthew,Moore,meganmitchell@hotmail.com,8009354457,9649902714,863796055,Closed,Business,55871,4861067864727214,01/2023,589,Blocked,MasterCard,2022-03-21,72,5.47,7948.92,Mortgage,Defaulted
0ac642f7-8c54-46a1-9a53-33cf227dc23e,Jonathan,Grant,ajohnson@yahoo.com,5275096195,4043807890,783282787,Suspended,Business,821.32,4685678935312666,06/2024,650,Inactive,Visa,2023-06-10,117,13.28,19610.55,Personal,Defaulted
1d7d530b-e2ce-4d79-974d-ff7e937b1435,Kimberly,Stone,annefoster@lewis.com,9680594787,5050209938,339409268,Active,Checking,8339.23,4818476408936617,12/2023,112,Inactive,American Express,2022-04-09,107,2.68,37047.21,Personal,Paid
